xxx

|      :date |  :amount |            :from |       :id | :sucursal |
|------------+----------+------------------+-----------+-----------|
| 03/06/2019 | 3,024.00 |                  |  80885893 |         1 |
| 24/06/2019 |   105.00 |                  |  78167861 |        36 |
| 29/06/2019 |   105.00 |                  |  79370062 |        17 |
| 29/06/2019 |   115.50 |                  |  79370406 |        17 |
| 03/07/2019 |   252.00 |                  |  88796272 |        95 |
| 09/07/2019 |   330.00 |                  |  90135598 |        52 |
| 17/07/2019 |   150.00 |                  |  92241837 |        52 |
| 17/07/2019 |   150.00 |                  |  92241948 |        52 |
| 31/07/2019 |   150.00 |                  |  95649693 |        52 |
| 27/08/2019 |   105.00 |                  |  90642066 |        36 |
| 30/08/2019 |   660.00 |                  | 103579188 |        52 |
| 13/09/2019 |   136.00 |                  | 107295267 |        95 |
| 02/10/2019 |   660.00 |                  | 112267932 |        44 |
| 02/10/2019 |   105.00 |                  | 112268156 |        44 |
| 02/10/2019 |   136.00 |                  | 112435331 |        95 |
| 14/10/2019 |   105.00 |                  |  99795498 |        36 |
| 15/10/2019 |   600.00 |                  | 115646343 |        52 |
| 08/11/2019 |   160.00 |                  | 121216030 |        52 |
| 15/11/2019 |   150.00 |                  | 122586286 |        52 |
| 18/11/2019 |   150.00 |                  | 123473982 |        95 |
| 19/11/2019 |    70.00 |                  | 123752659 |        52 |
| 03/12/2019 |   150.00 |                  | 127324753 |        52 |
| 07/12/2019 |    15.00 |                  | 128553314 |        52 |
| 17/12/2019 |   170.00 |                  | 130796060 |        52 |
| 17/12/2019 |   210.00 |                  | 130796369 |        52 |
| 27/12/2019 |   105.00 |                  | 113558584 |        36 |
| 03/01/2020 |   150.00 |                  | 134845309 |        52 |
| 03/01/2020 |   260.00 |                  | 115053451 |        95 |
| 04/02/2020 |   150.00 |                  | 142010518 |        52 |
| 27/02/2020 |    80.00 |                1 | 146962871 |        52 |
| 02/03/2020 |   150.00 |                  | 148074349 |        52 |
| 02/03/2020 |   260.00 |                  | 126010658 |        95 |
| 02/03/2020 |   435.20 |                  | 142999700 |        21 |
| 05/03/2020 |   150.00 |                  | 148961601 |        52 |
| 02/04/2020 |   210.00 |                  | 148255085 |        30 |
| 29/04/2020 |   260.00 |                  | 132170836 |         9 |
| 10/06/2020 |   186.18 |                  | 233468801 |        91 |
| 24/06/2020 |   210.00 |                  | 155759085 |        30 |
| 10/08/2020 |   210.00 |                  | 160340446 |        30 |
| 09/10/2020 |   210.00 |                  | 171373231 |         1 |
| 15/12/2020 |   210.00 |                  | 175341736 |        30 |
| 28/01/2021 |   130.00 |                  | 155537325 |         9 |
| 03/02/2021 |   210.00 |                  | 181240796 |        30 |
| 09/02/2021 |   105.00 |                  | 186127252 |         1 |
| 09/02/2021 |   105.00 |                  | 186127408 |         1 |
| 09/02/2021 |   105.00 |                  | 186127851 |         1 |
| 19/02/2021 |   130.00 |                  | 157426823 |         9 |
| 19/03/2021 |   136.00 |                  | 160111566 |         9 |
| 30/04/2021 |    33.00 |                  | 150415871 |         0 |
| 03/05/2021 |   136.00 |                  | 165229429 |         9 |
| 18/05/2021 |    80.00 |                  | 194252473 |        30 |
| 02/06/2021 |   136.00 |                  | 168516009 |         9 |
| 05/07/2021 |   105.00 |                  | 172037800 |        17 |
| 05/07/2021 |   105.00 |                  | 172038007 |        17 |
| 03/08/2021 |   140.00 |                  | 174976739 |         9 |
| 08/09/2021 | 5,000.00 |                  | 216923841 |         1 |
| 08/09/2021 |   150.00 |                  | 209580287 |        30 |
| 29/09/2021 |   150.00 |                  | 181321477 |        39 |
