xxx

|      :date |  :amount | :from |       :id | :sucursal |
|------------+----------+-------+-----------+-----------|
| 03/06/2019 | 3,024.00 |       |  80885893 |         1 |
| 24/06/2019 |   105.00 |       |  78167861 |        36 |
| 29/06/2019 |   105.00 |       |  79370062 |        17 |
| 29/06/2019 |   115.50 |       |  79370406 |        17 |
| 03/07/2019 |   252.00 |       |  88796272 |        95 |
| 09/07/2019 |   330.00 |       |  90135598 |        52 |
| 27/08/2019 |   105.00 |       |  90642066 |        36 |
| 13/09/2019 |   136.00 |       | 107295267 |        95 |
| 02/10/2019 |   105.00 |       | 112268156 |        44 |
| 02/10/2019 |   136.00 |       | 112435331 |        95 |
| 14/10/2019 |   105.00 |       |  99795498 |        36 |
| 19/11/2019 |    70.00 |       | 123752659 |        52 |
| 07/12/2019 |    15.00 |       | 128553314 |        52 |
| 17/12/2019 |   170.00 |       | 130796060 |        52 |
| 17/12/2019 |   210.00 |       | 130796369 |        52 |
| 27/12/2019 |   105.00 |       | 113558584 |        36 |
| 03/01/2020 |   260.00 |       | 115053451 |        95 |
| 27/02/2020 |    80.00 |     1 | 146962871 |        52 |
| 02/03/2020 |   260.00 |       | 126010658 |        95 |
| 02/03/2020 |   435.20 |       | 142999700 |        21 |
| 09/02/2021 |   105.00 |       | 186127252 |         1 |
| 09/02/2021 |   105.00 |       | 186127408 |         1 |
| 09/02/2021 |   105.00 |       | 186127851 |         1 |
| 19/02/2021 |   130.00 |       | 157426823 |         9 |
| 19/03/2021 |   136.00 |       | 160111566 |         9 |
| 30/04/2021 |    33.00 |       | 150415871 |         0 |
| 03/05/2021 |   136.00 |       | 165229429 |         9 |
| 18/05/2021 |    80.00 |       | 194252473 |        30 |
| 02/06/2021 |   136.00 |       | 168516009 |         9 |
| 05/07/2021 |   105.00 |       | 172037800 |        17 |
| 05/07/2021 |   105.00 |       | 172038007 |        17 |
| 03/08/2021 |   140.00 |       | 174976739 |         9 |
| 08/09/2021 | 5,000.00 |       | 216923841 |         1 |
| 12/10/2021 |   136.00 |       | 182636594 |         9 |
| 01/12/2021 |   136.00 |       | 187662631 |         9 |
| 29/12/2021 |   136.00 |       | 190561645 |         9 |
| 31/01/2022 |   136.00 |       | 193729748 |         9 |
| 21/02/2022 |   137.00 |       | 196094248 |         9 |
| 21/04/2022 |   210.00 |       | 239705926 |        30 |
| 10/05/2022 |   105.00 |       | 242061559 |        30 |
| 04/07/2022 |   140.00 |       | 211824829 |         9 |
| 06/08/2022 |   105.00 |       | 253480120 |        30 |
| 16/08/2022 |   140.00 |       | 216580131 |         9 |
